+-------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+--------+------------------+
| COUNT |  MIN  |  MAX  |   SUM    |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  | METHOD |       URI        |
+-------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+--------+------------------+
|  2613 | 0.016 | 3.324 | 4384.730 | 1.678 | 0.000 | 1.704 | 2.116 |  0.322 |      0.000 |     49.000 |     81790.000 |     31.301 | POST   | /buy             |
| 12707 | 0.003 | 1.028 | 1922.369 | 0.151 | 0.000 | 0.040 | 0.860 |  0.276 |      0.000 |  33449.000 | 229042802.000 |  18024.931 | GET    | /users/.*        |
| 16305 | 0.003 | 0.592 |  837.712 | 0.051 | 0.004 | 0.036 | 0.196 |  0.048 |      0.000 |  24081.000 | 381741461.000 |  23412.540 | GET    | /new_items/.*    |
|   758 | 0.004 | 0.924 |  566.402 | 0.747 | 0.000 | 0.820 | 0.876 |  0.232 |      0.000 |     61.000 |     43603.000 |     57.524 | POST   | /ship            |
|   750 | 0.391 | 0.924 |  562.277 | 0.750 | 0.000 | 0.812 | 0.868 |  0.223 |      0.000 |     83.000 |     26228.000 |     34.971 | POST   | /ship_done       |
|   663 | 0.004 | 0.896 |  532.157 | 0.803 | 0.008 | 0.816 | 0.876 |  0.117 |      0.000 |     34.000 |     22100.000 |     33.333 | POST   | /complete        |
| 52795 | 0.004 | 0.508 |  476.262 | 0.009 | 0.000 | 0.004 | 0.056 |  0.015 |   1795.000 |   4183.000 | 117107103.000 |   2218.148 | GET    | /items/.*        |
|  2827 | 0.000 | 0.596 |  174.589 | 0.062 | 0.004 | 0.048 | 0.204 |  0.055 |      0.000 |  23948.000 |  66011203.000 |  23350.266 | GET    | /new_items.json  |
|  4138 | 0.004 | 0.508 |   65.703 | 0.016 | 0.000 | 0.008 | 0.088 |  0.025 |   2951.000 |   3008.000 |  12393303.000 |   2994.998 | GET    | /settings        |
|  4163 | 0.000 | 0.416 |   39.408 | 0.009 | 0.000 | 0.004 | 0.056 |  0.016 |     73.000 |    172.000 |    659760.000 |    158.482 | POST   | /login           |
|     4 | 8.937 | 9.473 |   36.618 | 9.155 | 8.937 | 9.028 | 9.180 |  0.203 |     31.000 |     31.000 |       124.000 |     31.000 | POST   | /initialize      |
|   850 | 0.000 | 0.172 |   14.811 | 0.017 | 0.000 | 0.012 | 0.140 |  0.024 |      0.000 |    106.000 |     15156.000 |     17.831 | POST   | /sell            |
|   728 | 0.000 | 0.096 |    3.645 | 0.005 | 0.000 | 0.004 | 0.044 |  0.008 |     33.000 |    637.000 |    426195.000 |    585.433 | GET    | /transactions/.* |
|   226 | 0.000 | 0.068 |    1.529 | 0.007 | 0.000 | 0.000 | 0.056 |  0.011 |  51270.000 | 149624.000 |  18009108.000 |  79686.319 | GET    | /upload/.*       |
|    40 | 0.004 | 0.064 |    0.736 | 0.018 | 0.000 | 0.012 | 0.064 |  0.016 |     90.000 |     92.000 |      3634.000 |     90.850 | POST   | /bump            |
|    44 | 0.004 | 0.044 |    0.460 | 0.010 | 0.000 | 0.004 | 0.040 |  0.011 |     58.000 |     93.000 |      3313.000 |     75.295 | POST   | /items/.*        |
|     2 | 0.012 | 0.016 |    0.028 | 0.014 | 0.012 | 0.012 | 0.012 |  0.002 | 853165.000 | 863460.000 |   1716625.000 | 858312.500 | GET    | /reports.json    |
|    16 | 0.000 | 0.012 |    0.024 | 0.002 | 0.000 | 0.000 | 0.004 |  0.003 |    994.000 | 508459.000 |   2405280.000 | 150330.000 | GET    | /static/.*       |
|     1 | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 | 0.000 | 0.000 |  0.000 |      0.000 |      0.000 |         0.000 |      0.000 | GET    | /msdn.cpp        |
+-------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+---------------+------------+--------+------------------+
